Price,Demand
563.2653061,60528.25553
496.4749536,57690.41769
366.6048237,57862.40786
338.7755102,57862.40786
533.580705,56228.50123
546.567718,56142.50614
559.554731,56314.49631
630.0556586,60356.26536
674.5825603,60442.26044
733.9517625,57862.40786
758.0705009,57776.41278
797.0315399,58292.38329
893.5064935,58206.38821
928.7569573,57948.40295
980.7050093,58206.38821
1058.627087,55454.54545
1097.588126,55626.53563
1281.261596,61302.2113
1309.090909,61216.21622
1353.617811,61216.21622
1348.051948,48402.9484
1362.894249,48144.96314
1405.565863,48058.96806
1309.090909,41265.35627
1283.116883,41265.35627
1264.564007,41265.35627
1182.931354,40061.42506
1160.667904,40061.42506
1145.825603,40147.42015
1138.404453,41265.35627
1216.326531,47714.98771
986.270872,44017.19902
1004.823748,41695.3317
926.9016698,41781.32678
895.3617811,41867.32187
887.9406308,41781.32678
889.7959184,44361.17936
882.3747681,44017.19902
843.4137291,44103.1941
848.9795918,44103.1941
835.9925788,39631.44963
847.1243043,39545.45455
811.8738404,39459.45946
767.3469388,44791.15479
752.5046382,44963.14496
737.6623377,45135.13514
735.8070501,44275.18428
724.6753247,44791.15479
715.3988868,45135.13514
713.5435993,45995.086
713.5435993,46855.03686
728.3858998,47628.99263
750.6493506,47542.99754
752.5046382,50810.81081
737.6623377,50810.81081
709.8330241,53218.67322
730.2411874,53562.65356
726.5306122,53218.67322
719.109462,53906.63391
737.6623377,54422.60442
756.2152134,54594.59459
726.5306122,54680.58968
715.3988868,54680.58968
707.9777365,55196.5602
798.8868275,54164.61916
834.1372913,53304.6683
843.4137291,53046.68305
854.5454545,53046.68305
867.5324675,52960.68796
880.5194805,53046.68305
893.5064935,53218.67322
626.3450835,44533.16953
613.3580705,44791.15479
613.3580705,44275.18428
557.6994434,44791.15479
555.8441558,45307.12531
526.1595547,45135.13514
507.606679,46167.07617
496.4749536,46167.07617
507.606679,42555.28256
505.7513915,42555.28256
440.8163265,42727.27273
431.5398887,42383.29238
420.4081633,42383.29238
433.3951763,42727.27273
370.3153989,42383.29238
344.3413729,42813.26781
359.1836735,43071.25307
364.7495362,42727.27273
299.8144712,40319.41032
316.5120594,39631.44963
316.5120594,39889.43489
333.2096475,39717.44472
335.0649351,39631.44963
333.2096475,39115.47912
333.2096475,39029.48403
344.3413729,39115.47912
340.6307978,39975.42998
349.9072356,39975.42998
359.1836735,39545.45455
359.1836735,39115.47912
368.4601113,39631.44963
381.4471243,39631.44963
390.7235622,39459.45946
396.2894249,39201.4742
396.2894249,39029.48403
431.5398887,39803.4398
448.2374768,38943.48894
457.5139147,39373.46437
453.8033395,38943.48894
463.0797774,38943.48894
474.2115028,38943.48894
641.187384,50380.83538
659.7402597,50638.82064
622.6345083,50638.82064
516.8831169,53046.68305
531.7254174,53304.6683
388.8682746,34385.74939
401.8552876,34299.7543
437.1057514,34557.73956
476.0667904,34299.7543
388.8682746,32407.86241
392.5788497,32407.86241
355.4730983,31031.94103
385.1576994,32407.86241
411.1317254,30859.95086
422.2634508,30687.96069
433.3951763,30687.96069
520.593692,30945.94595
559.554731,30773.95577
661.5955473,30773.95577
733.9517625,30773.95577
566.9758813,44189.18919
572.541744,44791.15479
568.8311688,45307.12531
637.4768089,44275.18428
633.7662338,44103.1941
769.2022263,44017.19902
828.5714286,44791.15479
830.4267161,44447.17445
845.2690167,44533.16953
906.4935065,43845.20885
978.8497217,44447.17445
980.7050093,44791.15479
854.5454545,39201.4742
1142.115028,41007.37101
1045.640074,55368.55037
921.3358071,58378.37838
522.4489796,64914.00491
